#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBCF,2016-01-01 00:00,-43.9356,-19.9345,77.00,64.40,65.12,220.00,1.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010000Z 22001KT CAVOK 25/18 Q1016
SBCF,2016-01-01 01:00,-43.9356,-19.9345,75.20,64.40,69.14,190.00,2.00,0.00,30.06,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010100Z 19002KT CAVOK 24/18 Q1018
SBCF,2016-01-01 02:00,-43.9356,-19.9345,75.20,66.20,73.61,210.00,2.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010200Z 21002KT CAVOK 24/19 Q1017
SBCF,2016-01-01 03:00,-43.9356,-19.9345,73.40,66.20,78.19,160.00,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010300Z 16002KT CAVOK 23/19 Q1016
SBCF,2016-01-01 04:00,-43.9356,-19.9345,73.40,66.20,78.19,200.00,2.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010400Z 20002KT CAVOK 23/19 Q1016
SBCF,2016-01-01 05:00,-43.9356,-19.9345,71.60,66.20,83.09,170.00,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 010500Z 17002KT CAVOK 22/19 Q1015
SBCF,2016-01-01 06:00,-43.9356,-19.9345,71.60,66.20,83.09,90.00,4.00,0.00,29.97,M,6.21,M,FEW,SCT,M,M,3500.00,9000.00,M,M,M,M,M,M,SBCF 010600Z 09004KT 9999 FEW035 SCT090 22/19 Q1015
SBCF,2016-01-01 07:00,-43.9356,-19.9345,69.80,68.00,94.01,270.00,4.00,0.00,30.00,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,8000.00,M,M,M,M,M,SBCF 010700Z 27004KT 9999 SCT035 FEW040TCU BKN080 21/20 Q1016
SBCF,2016-01-01 08:00,-43.9356,-19.9345,71.60,66.20,83.09,70.00,6.00,0.00,30.00,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,8000.00,M,M,M,M,M,SBCF 010800Z 07006KT 9999 SCT035 FEW040TCU BKN080 22/19 Q1016
SBCF,2016-01-01 09:00,-43.9356,-19.9345,69.80,66.20,88.34,210.00,2.00,0.00,30.00,M,6.21,M,FEW,SCT,M,M,3500.00,8000.00,M,M,M,M,M,M,SBCF 010900Z 21002KT 9999 FEW035 SCT080 21/19 Q1016
SBCF,2016-01-01 10:00,-43.9356,-19.9345,71.60,68.00,88.43,160.00,4.00,0.00,30.00,M,6.21,M,FEW,SCT,M,M,3500.00,8000.00,M,M,M,M,M,M,SBCF 011000Z 16004KT 9999 FEW035 SCT080 22/20 Q1016
SBCF,2016-01-01 11:00,-43.9356,-19.9345,77.00,68.00,73.78,170.00,1.00,0.00,30.03,M,6.21,M,FEW,SCT,M,M,3500.00,8000.00,M,M,M,M,M,M,SBCF 011100Z 17001KT 9999 FEW035 SCT080 25/20 Q1017
SBCF,2016-01-01 12:00,-43.9356,-19.9345,80.60,66.20,61.58,40.00,6.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 011200Z 04006KT CAVOK 27/19 Q1017
SBCF,2016-01-01 13:00,-43.9356,-19.9345,82.40,64.40,54.55,340.00,5.00,0.00,30.03,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,SBCF 011300Z 34005KT 9999 FEW020 28/18 Q1017
SBCF,2016-01-01 14:00,-43.9356,-19.9345,84.20,60.80,45.34,350.00,8.00,0.00,30.03,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,SBCF 011400Z 35008KT 9999 FEW030 29/16 Q1017
SBCF,2016-01-01 15:00,-43.9356,-19.9345,86.00,62.60,45.61,360.00,6.00,0.00,30.00,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,M,M,M,SBCF 011500Z 36006KT 9999 SCT035 30/17 Q1016
SBCF,2016-01-01 16:00,-43.9356,-19.9345,86.00,62.60,45.61,330.00,5.00,0.00,29.97,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,SBCF 011600Z 33005KT 9999 SCT040 30/17 Q1015
SBCF,2016-01-01 17:00,-43.9356,-19.9345,86.00,64.40,48.58,310.00,5.00,0.00,29.94,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,SBCF 011700Z 31005KT 9999 SCT040 30/18 Q1014
SBCF,2016-01-01 18:00,-43.9356,-19.9345,86.00,64.40,48.58,360.00,6.00,0.00,29.94,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,SBCF 011800Z 36006KT 9999 SCT040 30/18 Q1014
SBCF,2016-01-01 19:00,-43.9356,-19.9345,87.80,66.20,48.84,50.00,5.00,0.00,29.88,M,6.21,M,FEW,FEW,M,M,4000.00,4500.00,M,M,M,M,M,M,SBCF 011900Z 05005KT 9999 FEW040 FEW045TCU 31/19 Q1012
SBCF,2016-01-01 20:00,-43.9356,-19.9345,86.00,64.40,48.58,10.00,4.00,0.00,29.88,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,SBCF 012000Z 01004KT 9999 FEW040 30/18 Q1012
SBCF,2016-01-01 21:00,-43.9356,-19.9345,86.00,62.60,45.61,70.00,2.00,0.00,29.88,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,SBCF 012100Z 07002KT 9999 FEW040 30/17 Q1012
SBCF,2016-01-01 22:00,-43.9356,-19.9345,82.40,66.20,58.08,160.00,2.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 012200Z 16002KT CAVOK 28/19 Q1013
SBCF,2016-01-01 23:00,-43.9356,-19.9345,80.60,64.40,57.84,140.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 012300Z 14005KT CAVOK 27/18 Q1014
SBCF,2016-01-02 00:00,-43.9356,-19.9345,78.80,64.40,61.36,150.00,4.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020000Z 15004KT CAVOK 26/18 Q1015
SBCF,2016-01-02 01:00,-43.9356,-19.9345,78.80,64.40,61.36,150.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020100Z 15003KT CAVOK 26/18 Q1015
SBCF,2016-01-02 02:00,-43.9356,-19.9345,77.00,66.20,69.33,190.00,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020200Z 19002KT CAVOK 25/19 Q1015
SBCF,2016-01-02 03:00,-43.9356,-19.9345,75.20,66.20,73.61,200.00,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020300Z 20002KT CAVOK 24/19 Q1015
SBCF,2016-01-02 04:00,-43.9356,-19.9345,75.20,66.20,73.61,190.00,1.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020400Z 19001KT CAVOK 24/19 Q1014
SBCF,2016-01-02 05:00,-43.9356,-19.9345,75.20,66.20,73.61,140.00,2.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020500Z 14002KT CAVOK 24/19 Q1014
SBCF,2016-01-02 06:00,-43.9356,-19.9345,71.60,66.20,83.09,260.00,6.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020600Z 26006KT CAVOK 22/19 Q1014
SBCF,2016-01-02 07:00,-43.9356,-19.9345,73.40,66.20,78.19,190.00,2.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020700Z 19002KT CAVOK 23/19 Q1014
SBCF,2016-01-02 08:00,-43.9356,-19.9345,73.40,66.20,78.19,120.00,7.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020800Z 12007KT CAVOK 23/19 Q1015
SBCF,2016-01-02 09:00,-43.9356,-19.9345,71.60,66.20,83.09,160.00,3.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 020900Z 16003KT CAVOK 22/19 Q1015
SBCF,2016-01-02 10:00,-43.9356,-19.9345,73.40,68.00,83.21,200.00,3.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 021000Z 20003KT CAVOK 23/20 Q1016
SBCF,2016-01-02 11:00,-43.9356,-19.9345,77.00,68.00,73.78,190.00,4.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 021100Z 19004KT CAVOK 25/20 Q1017
SBCF,2016-01-02 12:00,-43.9356,-19.9345,80.60,68.00,65.54,180.00,5.00,0.00,30.03,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCF 021200Z 18005KT CAVOK 27/20 Q1017
SBCF,2016-01-02 13:00,-43.9356,-19.9345,84.20,64.40,51.47,60.00,5.00,0.00,30.00,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,SBCF 021300Z 06005KT 9999 FEW025 29/18 Q1016
SBCF,2016-01-02 14:00,-43.9356,-19.9345,86.00,64.40,48.58,350.00,9.00,0.00,30.00,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,SBCF 021400Z 35009KT 9999 FEW030 30/18 Q1016
SBCF,2016-01-02 15:00,-43.9356,-19.9345,87.80,62.60,43.07,340.00,11.00,0.00,29.97,M,6.21,M,SCT,M,M,M,3500.00,M,M,M,M,M,M,M,SBCF 021500Z 34011KT 9999 SCT035 31/17 Q1015
SBCF,2016-01-02 16:00,-43.9356,-19.9345,82.40,66.20,58.08,240.00,17.00,0.00,29.97,M,6.21,M,BKN,FEW,M,M,3500.00,4000.00,M,M,M,M,M,M,SBCF 021600Z 24017KT 9999 BKN035 FEW040TCU 28/19 Q1015
SBCF,2016-01-02 16:22,-43.9356,-19.9345,73.40,64.40,73.44,230.00,18.00,0.00,30.00,M,3.73,28.00,BKN,FEW,M,M,3500.00,4000.00,M,M,TS,M,M,M,SBCF 021622Z 23018G28KT 6000 TS BKN035 FEW040CB 23/18 Q1016
SBCF,2016-01-02 16:38,-43.9356,-19.9345,71.60,66.20,83.09,230.00,11.00,0.00,30.00,M,4.97,M,BKN,FEW,M,M,3500.00,4000.00,M,M,-TSRA,M,M,M,SBCF 021638Z 23011KT 8000 -TSRA BKN035 FEW040CB 22/19 Q1016
SBCF,2016-01-02 17:00,-43.9356,-19.9345,69.80,66.20,88.34,150.00,9.00,0.00,30.00,M,5.59,M,BKN,FEW,BKN,M,3500.00,4000.00,10000.00,M,-TSRA,M,M,M,SBCF 021700Z 15009KT 9000 -TSRA BKN035 FEW040CB BKN100 21/19 Q1016
SBCF,2016-01-02 18:00,-43.9356,-19.9345,71.60,66.20,83.09,190.00,6.00,0.00,29.94,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,10000.00,M,TS,M,M,M,SBCF 021800Z 19006KT 9999 TS SCT035 FEW040CB BKN100 22/19 Q1014
SBCF,2016-01-02 19:00,-43.9356,-19.9345,71.60,66.20,83.09,210.00,4.00,0.00,29.94,M,6.21,M,SCT,FEW,BKN,M,3500.00,4000.00,10000.00,M,M,M,M,M,SBCF 021900Z 21004KT 9999 SCT035 FEW040TCU BKN100 22/19 Q1014 RETS
SBCF,2016-01-02 20:00,-43.9356,-19.9345,73.40,66.20,78.19,150.00,5.00,0.00,29.91,M,6.21,M,SCT,BKN,M,M,4000.00,10000.00,M,M,M,M,M,M,SBCF 022000Z 15005KT 9999 SCT040 BKN100 23/19 Q1013
SBCF,2016-01-02 21:00,-43.9356,-19.9345,71.60,66.20,83.09,200.00,6.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,4000.00,10000.00,M,M,M,M,M,M,SBCF 022100Z 20006KT 9999 FEW040 BKN100 22/19 Q1014
SBCF,2016-01-02 22:00,-43.9356,-19.9345,71.60,66.20,83.09,200.00,7.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,4000.00,10000.00,M,M,M,M,M,M,SBCF 022200Z 20007KT 9999 FEW040 BKN100 22/19 Q1014
