#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBGL,2016-01-01 00:00,-43.2437,-22.8089,87.80,71.60,58.78,350.00,4.00,0.00,29.80,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,VCTS,M,M,M,SBGL 010000Z 35004KT 9999 VCTS FEW010CB 31/22 Q1009
SBGL,2016-01-01 01:00,-43.2437,-22.8089,86.00,73.40,66.15,310.00,7.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010100Z 31007KT CAVOK 30/23 Q1009
SBGL,2016-01-01 02:00,-43.2437,-22.8089,86.00,73.40,66.15,290.00,3.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010200Z 29003KT CAVOK 30/23 Q1009
SBGL,2016-01-01 03:00,-43.2437,-22.8089,84.20,71.60,65.95,270.00,5.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010300Z 27005KT CAVOK 29/22 Q1008
SBGL,2016-01-01 04:00,-43.2437,-22.8089,82.40,71.60,69.90,340.00,4.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010400Z 34004KT CAVOK 28/22 Q1008
SBGL,2016-01-01 05:00,-43.2437,-22.8089,80.60,71.60,74.11,10.00,4.00,0.00,29.74,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010500Z 01004KT CAVOK 27/22 Q1007
SBGL,2016-01-01 06:00,-43.2437,-22.8089,80.60,73.40,78.76,10.00,3.00,0.00,29.74,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010600Z 01003KT CAVOK 27/23 Q1007
SBGL,2016-01-01 07:00,-43.2437,-22.8089,78.80,71.60,78.62,80.00,3.00,0.00,29.71,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010700Z 08003KT CAVOK 26/22 Q1006
SBGL,2016-01-01 08:00,-43.2437,-22.8089,78.80,73.40,83.55,20.00,3.00,0.00,29.74,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010800Z 02003KT CAVOK 26/23 Q1007
SBGL,2016-01-01 09:00,-43.2437,-22.8089,82.40,73.40,74.28,50.00,3.00,0.00,29.74,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 010900Z 05003KT CAVOK 28/23 Q1007
SBGL,2016-01-01 10:00,-43.2437,-22.8089,84.20,71.60,65.95,360.00,2.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 011000Z 36002KT CAVOK 29/22 Q1008
SBGL,2016-01-01 11:00,-43.2437,-22.8089,91.40,69.80,49.36,290.00,7.00,0.00,29.77,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 011100Z 29007KT CAVOK 33/21 Q1008
SBGL,2016-01-01 12:00,-43.2437,-22.8089,95.00,68.00,41.50,290.00,10.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 011200Z 29010KT CAVOK 35/20 Q1009
SBGL,2016-01-01 13:00,-43.2437,-22.8089,96.80,66.20,36.90,260.00,10.00,0.00,29.80,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGL 011300Z 26010KT CAVOK 36/19 Q1009
SBGL,2016-01-01 14:00,-43.2437,-22.8089,98.60,68.00,37.17,270.00,6.00,0.00,29.77,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,SBGL 011400Z 27006KT 9999 FEW025 37/20 Q1008
SBGL,2016-01-01 15:00,-43.2437,-22.8089,96.80,66.20,36.90,190.00,14.00,0.00,29.77,M,6.21,M,FEW,SCT,M,M,2500.00,10000.00,M,M,M,M,M,M,SBGL 011500Z 19014KT 9999 FEW025 SCT100 36/19 Q1008
SBGL,2016-01-01 16:00,-43.2437,-22.8089,95.00,68.00,41.50,190.00,18.00,0.00,29.77,M,6.21,M,FEW,SCT,M,M,2500.00,10000.00,M,M,M,M,M,M,SBGL 011600Z 19018KT 9999 FEW025 SCT100 35/20 Q1008
SBGL,2016-01-01 17:00,-43.2437,-22.8089,93.20,69.80,46.67,180.00,18.00,0.00,29.77,M,6.21,M,FEW,FEW,M,M,2500.00,3000.00,M,M,M,M,M,M,SBGL 011700Z 18018KT 9999 FEW025 FEW030TCU 34/21 Q1008
SBGL,2016-01-01 18:00,-43.2437,-22.8089,93.20,71.60,49.62,220.00,18.00,0.00,29.74,M,6.21,M,FEW,FEW,M,M,2500.00,3000.00,M,M,M,M,M,M,SBGL 011800Z 22018KT 9999 FEW025 FEW030TCU 34/22 Q1007
SBGL,2016-01-01 19:00,-43.2437,-22.8089,89.60,71.60,55.53,200.00,12.00,0.00,29.74,M,6.21,M,FEW,FEW,SCT,M,2500.00,3000.00,4000.00,M,M,M,M,M,SBGL 011900Z 20012KT 9999 FEW025 FEW030TCU SCT040 32/22 Q1007
SBGL,2016-01-01 20:00,-43.2437,-22.8089,89.60,71.60,55.53,210.00,13.00,0.00,29.74,M,6.21,M,FEW,FEW,SCT,M,2500.00,3000.00,10000.00,M,VCSH,M,M,M,SBGL 012000Z 21013KT 9999 VCSH FEW025 FEW030TCU SCT100 32/22 Q1007
SBGL,2016-01-01 21:00,-43.2437,-22.8089,86.00,73.40,66.15,230.00,10.00,0.00,29.77,M,6.21,M,FEW,FEW,BKN,M,2500.00,3000.00,4000.00,M,-RA,M,M,M,SBGL 012100Z 23010KT 9999 -RA FEW025 FEW030TCU BKN040 30/23 Q1008
