#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBMN,2016-01-01 00:00,-59.9863,-3.1460,84.20,75.20,74.44,290.00,3.00,0.00,29.80,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010000Z 29003KT 9999 FEW020 29/24 Q1009
SBMN,2016-01-01 00:42,-59.9863,-3.1460,78.80,73.40,83.55,100.00,15.00,0.00,29.83,M,1.86,27.00,BKN,M,M,M,1200.00,M,M,M,RA,M,M,M,SBMN 010042Z 10015G27KT 3000 RA BKN012 26/23 Q1010
SBMN,2016-01-01 01:00,-59.9863,-3.1460,75.20,71.60,88.59,90.00,14.00,0.00,29.85,M,1.86,24.00,BKN,M,M,M,1200.00,M,M,M,RA,M,M,M,SBMN 010100Z 09014G24KT 3000 RA BKN012 24/22 Q1011 RERA
SBMN,2016-01-01 01:15,-59.9863,-3.1460,73.40,71.60,94.10,100.00,6.00,0.00,29.85,M,6.21,M,BKN,FEW,M,M,1200.00,2500.00,M,M,-TSRA,M,M,M,SBMN 010115Z 10006KT 9999 -TSRA BKN012 FEW025CB 23/22 Q1011
SBMN,2016-01-01 02:00,-59.9863,-3.1460,77.00,73.40,88.67,210.00,3.00,0.00,29.85,M,6.21,M,BKN,FEW,M,M,2000.00,2500.00,M,M,-TSRA,M,M,M,SBMN 010200Z 21003KT 9999 -TSRA BKN020 FEW025CB 25/23 Q1011
SBMN,2016-01-01 03:00,-59.9863,-3.1460,77.00,73.40,88.67,230.00,3.00,0.00,29.85,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010300Z 23003KT 9999 SCT020 25/23 Q1011 RETS
SBMN,2016-01-01 04:00,-59.9863,-3.1460,77.00,73.40,88.67,190.00,2.00,0.00,29.85,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010400Z 19002KT 9999 SCT020 25/23 Q1011
SBMN,2016-01-01 05:00,-59.9863,-3.1460,78.80,73.40,83.55,340.00,2.00,0.00,29.83,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010500Z 34002KT 9999 SCT020 26/23 Q1010
SBMN,2016-01-01 06:00,-59.9863,-3.1460,78.80,75.20,88.75,330.00,2.00,0.00,29.83,M,6.21,M,SCT,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010600Z 33002KT 9999 SCT020 26/24 Q1010
SBMN,2016-01-01 07:00,-59.9863,-3.1460,78.80,75.20,88.75,320.00,1.00,0.00,29.80,M,6.21,M,FEW,M,M,M,2000.00,M,M,M,M,M,M,M,SBMN 010700Z 32001KT 9999 FEW020 26/24 Q1009
