#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBPA,2016-01-01 00:00,-51.1714,-29.9944,75.20,68.00,78.34,130.00,9.00,0.00,29.83,M,6.21,M,BKN,M,M,M,3500.00,M,M,M,M,M,M,M,SBPA 010000Z 13009KT 9999 BKN035 24/20 Q1010
SBPA,2016-01-01 04:00,-51.1714,-29.9944,73.40,68.00,83.21,90.00,7.00,0.00,29.80,M,6.21,M,SCT,BKN,OVC,M,2400.00,3000.00,4000.00,M,M,M,M,M,SBPA 010400Z 09007KT 9999 SCT024 BKN030 OVC040 23/20 Q1009
SBPA,2016-01-01 05:00,-51.1714,-29.9944,73.40,68.00,83.21,90.00,5.00,0.00,29.83,M,6.21,M,OVC,M,M,M,4000.00,M,M,M,M,M,M,M,SBPA 010500Z 09005KT 9999 OVC040 23/20 Q1010
SBPA,2016-01-01 06:00,-51.1714,-29.9944,73.40,68.00,83.21,100.00,9.00,0.00,29.83,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,SBPA 010600Z 10009KT 9999 BKN040 23/20 Q1010
SBPA,2016-01-01 07:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,11.00,0.00,29.80,M,6.21,M,SCT,M,M,M,4000.00,M,M,M,M,M,M,M,SBPA 010700Z 10011KT 9999 SCT040 22/20 Q1009
SBPA,2016-01-01 08:00,-51.1714,-29.9944,71.60,68.00,88.43,80.00,5.00,0.00,29.83,M,6.21,M,BKN,M,M,M,3500.00,M,M,M,M,M,M,M,SBPA 010800Z 08005KT 9999 BKN035 22/20 Q1010
SBPA,2016-01-01 09:00,-51.1714,-29.9944,71.60,68.00,88.43,80.00,5.00,0.00,29.83,M,6.21,M,FEW,BKN,M,M,1500.00,3500.00,M,M,M,M,M,M,SBPA 010900Z 08005KT 9999 FEW015 BKN035 22/20 Q1010
SBPA,2016-01-01 10:00,-51.1714,-29.9944,71.60,68.00,88.43,120.00,10.00,0.00,29.85,M,6.21,M,FEW,BKN,M,M,2300.00,5400.00,M,M,M,M,M,M,SBPA 011000Z 12010KT 9999 FEW023 BKN054 22/20 Q1011
SBPA,2016-01-01 11:00,-51.1714,-29.9944,75.20,69.80,83.32,100.00,9.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,2500.00,5500.00,M,M,M,M,M,M,SBPA 011100Z 10009KT 9999 FEW025 BKN055 24/21 Q1012
SBPA,2016-01-01 12:00,-51.1714,-29.9944,75.20,68.00,78.34,90.00,12.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,1900.00,5500.00,M,M,M,M,M,M,SBPA 011200Z 09012KT 9999 FEW019 BKN055 24/20 Q1012
SBPA,2016-01-01 13:00,-51.1714,-29.9944,77.00,68.00,73.78,100.00,13.00,0.00,29.88,M,6.21,M,BKN,OVC,M,M,2200.00,5400.00,M,M,M,M,M,M,SBPA 011300Z 10013KT 9999 BKN022 OVC054 25/20 Q1012
SBPA,2016-01-01 14:00,-51.1714,-29.9944,78.80,68.00,69.52,100.00,11.00,0.00,29.88,M,6.21,M,SCT,OVC,M,M,2200.00,5500.00,M,M,M,M,M,M,SBPA 011400Z 10011KT 9999 SCT022 OVC055 26/20 Q1012
SBPA,2016-01-01 15:00,-51.1714,-29.9944,78.80,68.00,69.52,90.00,15.00,0.00,29.85,M,6.21,M,BKN,BKN,M,M,2500.00,5500.00,M,M,M,M,M,M,SBPA 011500Z 09015KT 9999 BKN025 BKN055 26/20 Q1011
SBPA,2016-01-01 16:00,-51.1714,-29.9944,78.80,69.80,73.95,110.00,16.00,0.00,29.85,M,6.21,M,SCT,BKN,M,M,2500.00,4500.00,M,M,M,M,M,M,SBPA 011600Z 11016KT 080V140 9999 SCT025 BKN045 26/21 Q1011
SBPA,2016-01-01 17:00,-51.1714,-29.9944,78.80,68.00,69.52,120.00,17.00,0.00,29.85,M,6.21,M,BKN,BKN,M,M,2500.00,5000.00,M,M,M,M,M,M,SBPA 011700Z 12017KT 9999 BKN025 BKN050 26/20 Q1011
SBPA,2016-01-01 18:00,-51.1714,-29.9944,80.60,68.00,65.54,110.00,16.00,0.00,29.83,M,6.21,M,SCT,BKN,M,M,3000.00,5500.00,M,M,M,M,M,M,SBPA 011800Z 11016KT 080V150 9999 SCT030 BKN055 27/20 Q1010
SBPA,2016-01-01 19:00,-51.1714,-29.9944,78.80,68.00,69.52,100.00,18.00,0.00,29.83,M,6.21,M,BKN,BKN,M,M,3000.00,5500.00,M,M,M,M,M,M,SBPA 011900Z 10018KT 9999 BKN030 BKN055 26/20 Q1010
SBPA,2016-01-01 20:00,-51.1714,-29.9944,78.80,66.20,65.33,110.00,17.00,0.00,29.83,M,6.21,M,SCT,BKN,M,M,2500.00,4000.00,M,M,M,M,M,M,SBPA 012000Z 11017KT 9999 SCT025 BKN040 26/19 Q1010
SBPA,2016-01-01 21:00,-51.1714,-29.9944,77.00,66.20,69.33,100.00,16.00,0.00,29.83,M,6.21,M,FEW,SCT,M,M,3000.00,5000.00,M,M,M,M,M,M,SBPA 012100Z 10016KT 080V140 9999 FEW030 SCT050 25/19 Q1010
SBPA,2016-01-01 22:00,-51.1714,-29.9944,75.20,66.20,73.61,110.00,15.00,0.00,29.85,M,6.21,M,SCT,BKN,M,M,3500.00,5000.00,M,M,M,M,M,M,SBPA 012200Z 11015KT 9999 SCT035 BKN050 24/19 Q1011
SBPA,2016-01-01 23:00,-51.1714,-29.9944,75.20,66.20,73.61,110.00,16.00,0.00,29.88,M,6.21,M,SCT,BKN,M,M,3300.00,6000.00,M,M,M,M,M,M,SBPA 012300Z 11016KT 9999 SCT033 BKN060 24/19 Q1012
SBPA,2016-01-02 00:00,-51.1714,-29.9944,75.20,66.20,73.61,110.00,18.00,0.00,29.88,M,6.21,M,SCT,BKN,M,M,3200.00,6000.00,M,M,M,M,M,M,SBPA 020000Z 11018KT 9999 SCT032 BKN060 24/19 Q1012
SBPA,2016-01-02 01:00,-51.1714,-29.9944,73.40,66.20,78.19,120.00,13.00,0.00,29.88,M,6.21,M,BKN,M,M,M,4500.00,M,M,M,M,M,M,M,SBPA 020100Z 12013KT 9999 BKN045 23/19 Q1012
SBPA,2016-01-02 02:00,-51.1714,-29.9944,73.40,66.20,78.19,100.00,15.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020200Z 10015KT CAVOK 23/19 Q1012
SBPA,2016-01-02 03:00,-51.1714,-29.9944,73.40,66.20,78.19,100.00,10.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020300Z 10010KT CAVOK 23/19 Q1012
SBPA,2016-01-02 04:00,-51.1714,-29.9944,71.60,68.00,88.43,110.00,12.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020400Z 11012KT CAVOK 22/20 Q1012
SBPA,2016-01-02 05:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,12.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020500Z 10012KT CAVOK 22/20 Q1012
SBPA,2016-01-02 06:00,-51.1714,-29.9944,71.60,68.00,88.43,120.00,8.00,0.00,29.85,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020600Z 12008KT CAVOK 22/20 Q1011
SBPA,2016-01-02 07:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,8.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020700Z 10008KT CAVOK 22/20 Q1012
SBPA,2016-01-02 08:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,9.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020800Z 10009KT CAVOK 22/20 Q1012
SBPA,2016-01-02 09:00,-51.1714,-29.9944,71.60,68.00,88.43,110.00,9.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 020900Z 11009KT CAVOK 22/20 Q1013
SBPA,2016-01-02 10:00,-51.1714,-29.9944,73.40,68.00,83.21,110.00,12.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 021000Z 11012KT CAVOK 23/20 Q1013
SBPA,2016-01-02 11:00,-51.1714,-29.9944,75.20,68.00,78.34,100.00,14.00,0.00,29.94,M,6.21,M,FEW,SCT,BKN,M,2000.00,6000.00,7500.00,M,M,M,M,M,SBPA 021100Z 10014KT 9999 FEW020 SCT060 BKN075 24/20 Q1014
SBPA,2016-01-02 12:00,-51.1714,-29.9944,77.00,68.00,73.78,90.00,19.00,0.00,29.94,M,6.21,M,FEW,BKN,BKN,M,2000.00,6000.00,7000.00,M,M,M,M,M,SBPA 021200Z 09019KT 9999 FEW020 BKN060 BKN070 25/20 Q1014
SBPA,2016-01-02 13:00,-51.1714,-29.9944,77.00,68.00,73.78,100.00,17.00,0.00,29.97,M,6.21,M,SCT,BKN,BKN,M,2000.00,6000.00,8000.00,M,M,M,M,M,SBPA 021300Z 10017KT 9999 SCT020 BKN060 BKN080 25/20 Q1015
SBPA,2016-01-02 14:00,-51.1714,-29.9944,78.80,68.00,69.52,90.00,18.00,0.00,29.97,M,6.21,M,FEW,BKN,BKN,M,2500.00,5500.00,8000.00,M,M,M,M,M,SBPA 021400Z 09018KT 9999 FEW025 BKN055 BKN080 26/20 Q1015
SBPA,2016-01-02 15:00,-51.1714,-29.9944,78.80,68.00,69.52,100.00,16.00,0.00,29.94,M,6.21,M,FEW,BKN,BKN,M,2500.00,5500.00,8000.00,M,M,M,M,M,SBPA 021500Z 10016KT 9999 FEW025 BKN055 BKN080 26/20 Q1014
SBPA,2016-01-02 16:00,-51.1714,-29.9944,80.60,68.00,65.54,110.00,16.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,3000.00,5000.00,M,M,M,M,M,M,SBPA 021600Z 11016KT 9999 FEW030 BKN050 27/20 Q1014
SBPA,2016-01-02 17:00,-51.1714,-29.9944,80.60,68.00,65.54,120.00,16.00,0.00,29.91,M,6.21,M,FEW,BKN,M,M,3000.00,5000.00,M,M,M,M,M,M,SBPA 021700Z 12016KT 9999 FEW030 BKN050 27/20 Q1013
SBPA,2016-01-02 18:00,-51.1714,-29.9944,82.40,68.00,61.81,110.00,14.00,0.00,29.91,M,6.21,M,FEW,BKN,M,M,3000.00,5000.00,M,M,M,M,M,M,SBPA 021800Z 11014KT 9999 FEW030 BKN050 28/20 Q1013
SBPA,2016-01-02 19:00,-51.1714,-29.9944,80.60,68.00,65.54,110.00,16.00,0.00,29.91,M,6.21,M,FEW,BKN,M,M,3000.00,5000.00,M,M,M,M,M,M,SBPA 021900Z 11016KT 9999 FEW030 BKN050 27/20 Q1013
SBPA,2016-01-02 20:00,-51.1714,-29.9944,78.80,68.00,69.52,110.00,17.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,3000.00,6000.00,M,M,M,M,M,M,SBPA 022000Z 11017KT 9999 FEW030 BKN060 26/20 Q1012
SBPA,2016-01-02 21:00,-51.1714,-29.9944,77.00,66.20,69.33,110.00,16.00,0.00,29.88,M,6.21,M,FEW,OVC,M,M,3000.00,6000.00,M,M,M,M,M,M,SBPA 022100Z 11016KT 9999 FEW030 OVC060 25/19 Q1012
SBPA,2016-01-02 22:00,-51.1714,-29.9944,75.20,66.20,73.61,100.00,17.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 022200Z 10017KT CAVOK 24/19 Q1013
SBPA,2016-01-02 23:00,-51.1714,-29.9944,75.20,66.20,73.61,100.00,17.00,0.00,29.94,M,6.21,27.00,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 022300Z 10017G27KT CAVOK 24/19 Q1014
SBPA,2016-01-03 00:00,-51.1714,-29.9944,75.20,66.20,73.61,110.00,15.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030000Z 11015KT CAVOK 24/19 Q1014
SBPA,2016-01-03 01:00,-51.1714,-29.9944,75.20,66.20,73.61,100.00,17.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030100Z 10017KT CAVOK 24/19 Q1014
SBPA,2016-01-03 02:00,-51.1714,-29.9944,73.40,66.20,78.19,90.00,17.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030200Z 09017KT CAVOK 23/19 Q1013
SBPA,2016-01-03 03:00,-51.1714,-29.9944,73.40,68.00,83.21,100.00,13.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030300Z 10013KT CAVOK 23/20 Q1014
SBPA,2016-01-03 04:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,13.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030400Z 10013KT CAVOK 22/20 Q1013
SBPA,2016-01-03 05:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,11.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030500Z 10011KT CAVOK 22/20 Q1013
SBPA,2016-01-03 06:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,12.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030600Z 10012KT CAVOK 22/20 Q1013
SBPA,2016-01-03 07:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,10.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030700Z 10010KT CAVOK 22/20 Q1013
SBPA,2016-01-03 08:00,-51.1714,-29.9944,71.60,68.00,88.43,100.00,10.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030800Z 10010KT CAVOK 22/20 Q1013
SBPA,2016-01-03 09:00,-51.1714,-29.9944,71.60,66.20,83.09,100.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 030900Z 10011KT CAVOK 22/19 Q1014
SBPA,2016-01-03 10:00,-51.1714,-29.9944,73.40,66.20,78.19,100.00,12.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031000Z 10012KT CAVOK 23/19 Q1014
SBPA,2016-01-03 11:00,-51.1714,-29.9944,77.00,68.00,73.78,110.00,13.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031100Z 11013KT CAVOK 25/20 Q1015
SBPA,2016-01-03 12:00,-51.1714,-29.9944,78.80,66.20,65.33,100.00,12.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031200Z 10012KT CAVOK 26/19 Q1015
SBPA,2016-01-03 13:00,-51.1714,-29.9944,80.60,68.00,65.54,90.00,11.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3000.00,M,M,M,M,M,M,M,SBPA 031300Z 09011KT 9999 FEW030 27/20 Q1015
SBPA,2016-01-03 14:00,-51.1714,-29.9944,82.40,66.20,58.08,110.00,12.00,0.00,29.97,M,6.21,M,FEW,M,M,M,3500.00,M,M,M,M,M,M,M,SBPA 031400Z 11012KT 9999 FEW035 28/19 Q1015
SBPA,2016-01-03 15:00,-51.1714,-29.9944,84.20,68.00,58.32,120.00,14.00,0.00,29.94,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,SBPA 031500Z 12014KT 080V150 9999 FEW040 29/20 Q1014
SBPA,2016-01-03 16:00,-51.1714,-29.9944,84.20,68.00,58.32,90.00,15.00,0.00,29.94,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,SBPA 031600Z 09015KT 9999 FEW040 29/20 Q1014
SBPA,2016-01-03 17:00,-51.1714,-29.9944,84.20,68.00,58.32,90.00,16.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031700Z 09016KT CAVOK 29/20 Q1013
SBPA,2016-01-03 18:00,-51.1714,-29.9944,84.20,66.20,54.80,110.00,16.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031800Z 11016KT CAVOK 29/19 Q1013
SBPA,2016-01-03 19:00,-51.1714,-29.9944,84.20,66.20,54.80,110.00,17.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 031900Z 11017KT CAVOK 29/19 Q1012
SBPA,2016-01-03 20:00,-51.1714,-29.9944,82.40,68.00,61.81,100.00,16.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 032000Z 10016KT CAVOK 28/20 Q1012
SBPA,2016-01-03 21:00,-51.1714,-29.9944,80.60,66.20,61.58,100.00,16.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 032100Z 10016KT CAVOK 27/19 Q1012
SBPA,2016-01-03 22:00,-51.1714,-29.9944,77.00,66.20,69.33,110.00,18.00,0.00,29.88,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 032200Z 11018KT CAVOK 25/19 Q1012
SBPA,2016-01-03 23:00,-51.1714,-29.9944,75.20,64.40,69.14,100.00,14.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBPA 032300Z 10014KT CAVOK 24/18 Q1013
