#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBCT,2016-01-01 00:00,-49.1758,-25.5285,73.40,66.20,78.19,240.00,7.00,0.00,29.94,M,6.21,M,FEW,M,M,M,4000.00,M,M,M,M,M,M,M,SBCT 010000Z 24007KT 9999 FEW040 23/19 Q1014
SBCT,2016-01-01 01:00,-49.1758,-25.5285,71.60,62.60,73.27,280.00,2.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010100Z 28002KT CAVOK 22/17 Q1015
SBCT,2016-01-01 02:00,-49.1758,-25.5285,69.80,64.40,82.98,50.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010200Z 05003KT CAVOK 21/18 Q1014
SBCT,2016-01-01 03:00,-49.1758,-25.5285,68.00,64.40,88.26,70.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010300Z 07005KT CAVOK 20/18 Q1014
SBCT,2016-01-01 04:00,-49.1758,-25.5285,68.00,64.40,88.26,100.00,4.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010400Z 10004KT CAVOK 20/18 Q1014
SBCT,2016-01-01 05:00,-49.1758,-25.5285,68.00,66.20,93.97,90.00,6.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010500Z 09006KT CAVOK 20/19 Q1013
SBCT,2016-01-01 06:00,-49.1758,-25.5285,68.00,66.20,93.97,30.00,3.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010600Z 03003KT CAVOK 20/19 Q1013
SBCT,2016-01-01 07:00,-49.1758,-25.5285,66.20,64.40,93.92,0.00,0.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBCT 010700Z 00000KT CAVOK 19/18 Q1013
SBCT,2016-01-01 07:49,-49.1758,-25.5285,68.00,68.00,100.00,360.00,2.00,0.00,29.91,M,4.35,M,BKN,M,M,M,300.00,M,M,M,M,M,M,M,SBCT 010749Z 36002KT 7000 BKN003 20/20 Q1013
SBCT,2016-01-01 08:00,-49.1758,-25.5285,69.80,68.00,94.01,10.00,5.00,0.00,29.91,M,3.73,M,OVC,M,M,M,300.00,M,M,M,M,M,M,M,SBCT 010800Z 01005KT 6000 OVC003 21/20 Q1013
