#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBGR,2016-01-01 00:00,-46.4695,-23.4321,75.20,69.80,83.32,330.00,6.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010000Z 33006KT CAVOK 24/21 Q1015
SBGR,2016-01-01 01:00,-46.4695,-23.4321,75.20,69.80,83.32,340.00,6.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010100Z 34006KT CAVOK 24/21 Q1016
SBGR,2016-01-01 02:00,-46.4695,-23.4321,73.40,69.80,88.51,320.00,4.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010200Z 32004KT CAVOK 23/21 Q1015
SBGR,2016-01-01 03:00,-46.4695,-23.4321,73.40,69.80,88.51,330.00,6.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1900.00,M,M,M,M,M,M,M,SBGR 010300Z 33006KT 9999 FEW019 23/21 Q1015
SBGR,2016-01-01 04:00,-46.4695,-23.4321,71.60,68.00,88.43,330.00,7.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010400Z 33007KT CAVOK 22/20 Q1014
SBGR,2016-01-01 05:00,-46.4695,-23.4321,71.60,68.00,88.43,320.00,5.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010500Z 32005KT CAVOK 22/20 Q1014
SBGR,2016-01-01 06:00,-46.4695,-23.4321,69.80,68.00,94.01,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010600Z 00000KT CAVOK 21/20 Q1014
SBGR,2016-01-01 07:00,-46.4695,-23.4321,69.80,68.00,94.01,300.00,3.00,0.00,29.91,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,SBGR 010700Z 30003KT 9999 FEW015 21/20 Q1013
SBGR,2016-01-01 08:00,-46.4695,-23.4321,68.00,68.00,100.00,180.00,3.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010800Z 18003KT CAVOK 20/20 Q1014
SBGR,2016-01-01 09:00,-46.4695,-23.4321,69.80,68.00,94.01,0.00,0.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 010900Z 00000KT CAVOK 21/20 Q1014
SBGR,2016-01-01 10:00,-46.4695,-23.4321,73.40,69.80,88.51,270.00,4.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1500.00,M,M,M,M,M,M,M,SBGR 011000Z 27004KT 9999 FEW015 23/21 Q1015
SBGR,2016-01-01 11:00,-46.4695,-23.4321,75.20,68.00,78.34,290.00,6.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,1700.00,7000.00,M,M,M,M,M,M,SBGR 011100Z 29006KT 9999 FEW017 BKN070 24/20 Q1015
SBGR,2016-01-01 12:00,-46.4695,-23.4321,77.00,69.80,78.48,320.00,9.00,0.00,29.97,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,SBGR 011200Z 32009KT 9999 FEW025 25/21 Q1015
SBGR,2016-01-01 13:00,-46.4695,-23.4321,80.60,69.80,69.71,300.00,8.00,0.00,30.00,M,6.21,20.00,BKN,M,M,M,2600.00,M,M,M,M,M,M,M,SBGR 011300Z 30008G20KT 9999 BKN026 27/21 Q1016
SBGR,2016-01-01 14:00,-46.4695,-23.4321,80.60,71.60,74.11,300.00,8.00,0.00,30.00,M,6.21,M,BKN,M,M,M,3000.00,M,M,M,M,M,M,M,SBGR 011400Z 30008KT 9999 BKN030 27/22 Q1016
SBGR,2016-01-01 15:00,-46.4695,-23.4321,84.20,73.40,70.08,300.00,5.00,0.00,29.97,M,6.21,M,BKN,M,M,M,4000.00,M,M,M,M,M,M,M,SBGR 011500Z 30005KT 9999 BKN040 29/23 Q1015
SBGR,2016-01-01 16:00,-46.4695,-23.4321,84.20,69.80,62.03,290.00,11.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBGR 011600Z 29011KT CAVOK 29/21 Q1014
SBGR,2016-01-01 17:00,-46.4695,-23.4321,87.80,69.80,55.29,280.00,8.00,0.00,29.91,M,6.21,M,BKN,FEW,M,M,4500.00,6000.00,M,M,M,M,M,M,SBGR 011700Z 28008KT 9999 BKN045 FEW060TCU 31/21 Q1013
SBGR,2016-01-01 18:00,-46.4695,-23.4321,80.60,71.60,74.11,220.00,3.00,0.00,29.88,M,6.21,M,BKN,FEW,M,M,4500.00,5000.00,M,M,M,M,M,M,SBGR 011800Z 22003KT 9999 BKN045 FEW050TCU 27/22 Q1012
SBGR,2016-01-01 19:00,-46.4695,-23.4321,78.80,71.60,78.62,170.00,6.00,0.00,29.88,M,5.59,M,BKN,FEW,OVC,M,4000.00,5000.00,8000.00,M,-RA,M,M,M,SBGR 011900Z 17006KT 9000 -RA BKN040 FEW050TCU OVC080 26/22 Q1012
SBGR,2016-01-01 19:17,-46.4695,-23.4321,73.40,71.60,94.10,120.00,8.00,0.00,29.91,M,2.17,M,BKN,FEW,OVC,M,3000.00,5000.00,8000.00,M,+RA BR,M,M,M,SBGR 011917Z 12008KT 3500 +RA BR BKN030 FEW050TCU OVC080 23/22 Q1013
SBGR,2016-01-01 19:26,-46.4695,-23.4321,73.40,71.60,94.10,150.00,3.00,0.00,29.91,M,2.49,M,BKN,FEW,OVC,M,2000.00,5000.00,8000.00,M,TSRA BR,M,M,M,SBGR 011926Z 15003KT 4000 TSRA BR BKN020 FEW050CB OVC080 23/22 Q1013 RERA
SBGR,2016-01-01 20:00,-46.4695,-23.4321,71.60,71.60,100.00,90.00,4.00,0.00,29.91,M,4.35,M,BKN,FEW,OVC,M,2000.00,5000.00,8000.00,M,-TSRA,M,M,M,SBGR 012000Z 09004KT 7000 -TSRA BKN020 FEW050CB OVC080 22/22 Q1013 RERA
SBGR,2016-01-01 20:40,-46.4695,-23.4321,71.60,71.60,100.00,60.00,7.00,0.00,29.91,M,5.59,M,BKN,SCT,FEW,OVC,600.00,2000.00,5000.00,8000.00,-TSRA,M,M,M,SBGR 012040Z 06007KT 9000 -TSRA BKN006 SCT020 FEW050CB OVC080 22/22 Q1013
SBGR,2016-01-01 22:00,-46.4695,-23.4321,71.60,69.80,94.06,300.00,4.00,0.00,29.94,M,5.59,M,SCT,SCT,FEW,OVC,900.00,3000.00,5000.00,8000.00,-TSRA,M,M,M,SBGR 012200Z 30004KT 9000 -TSRA SCT009 SCT030 FEW050CB OVC080 22/21 Q1014 RERA
SBGR,2016-01-01 23:00,-46.4695,-23.4321,71.60,71.60,100.00,60.00,5.00,0.00,29.94,M,6.21,M,SCT,SCT,OVC,M,900.00,3000.00,10000.00,M,-RA,M,M,M,SBGR 012300Z 06005KT 9999 -RA SCT009 SCT030 OVC100 22/22 Q1014 RETS
SBGR,2016-01-02 00:00,-46.4695,-23.4321,71.60,71.60,100.00,70.00,5.00,0.00,29.97,M,6.21,M,BKN,OVC,M,M,1100.00,10000.00,M,M,M,M,M,M,SBGR 020000Z 07005KT 9999 BKN011 OVC100 22/22 Q1015
SBGR,2016-01-02 01:00,-46.4695,-23.4321,71.60,71.60,100.00,90.00,3.00,0.00,30.00,M,6.21,M,OVC,M,M,M,700.00,M,M,M,M,M,M,M,SBGR 020100Z 09003KT 9999 OVC007 22/22 Q1016
SBGR,2016-01-02 02:00,-46.4695,-23.4321,71.60,71.60,100.00,70.00,3.00,0.00,30.00,M,6.21,M,SCT,BKN,M,M,800.00,2600.00,M,M,M,M,M,M,SBGR 020200Z 07003KT 9999 SCT008 BKN026 22/22 Q1016
SBGR,2016-01-02 03:00,-46.4695,-23.4321,71.60,71.60,100.00,100.00,3.00,0.00,30.00,M,5.59,M,SCT,BKN,BKN,M,700.00,1100.00,9000.00,M,M,M,M,M,SBGR 020300Z 10003KT 9000 SCT007 BKN011 BKN090 22/22 Q1016
SBGR,2016-01-02 03:27,-46.4695,-23.4321,71.60,71.60,100.00,100.00,3.00,0.00,29.97,M,5.59,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,SBGR 020327Z 10003KT 9000 BKN009 22/22 Q1015
SBGR,2016-01-02 04:00,-46.4695,-23.4321,71.60,71.60,100.00,120.00,2.00,0.00,29.97,M,5.59,M,BKN,BKN,BKN,M,900.00,2500.00,7000.00,M,M,M,M,M,SBGR 020400Z 12002KT 9000 BKN009 BKN025 BKN070 22/22 Q1015
SBGR,2016-01-02 05:00,-46.4695,-23.4321,71.60,71.60,100.00,120.00,2.00,0.00,29.97,M,5.59,M,BKN,BKN,M,M,900.00,2500.00,M,M,M,M,M,M,SBGR 020500Z 12002KT 9000 BKN009 BKN025 22/22 Q1015
