#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBKP,2016-01-01 00:00,-47.1345,-23.0074,71.60,71.60,100.00,60.00,7.00,0.00,29.97,M,6.21,M,FEW,BKN,M,M,2000.00,10000.00,M,M,M,M,M,M,SBKP 010000Z 06007KT 9999 FEW020 BKN100 22/22 Q1015
SBKP,2016-01-01 02:00,-47.1345,-23.0074,71.60,69.80,94.06,30.00,8.00,0.00,29.97,M,6.21,M,SCT,BKN,M,M,600.00,10000.00,M,M,M,M,M,M,SBKP 010200Z 03008KT 9999 SCT006 BKN100 22/21 Q1015
SBKP,2016-01-01 03:00,-47.1345,-23.0074,71.60,69.80,94.06,30.00,8.00,0.00,29.97,M,6.21,M,BKN,M,M,M,700.00,M,M,M,M,M,M,M,SBKP 010300Z 03008KT 9999 BKN007 22/21 Q1015
SBKP,2016-01-01 04:00,-47.1345,-23.0074,69.80,69.80,100.00,40.00,7.00,0.00,29.94,M,6.21,M,BKN,M,M,M,500.00,M,M,M,M,M,M,M,SBKP 010400Z 04007KT 9999 BKN005 21/21 Q1014
SBKP,2016-01-01 05:00,-47.1345,-23.0074,69.80,69.80,100.00,40.00,5.00,0.00,29.94,M,6.21,M,FEW,BKN,M,M,600.00,10000.00,M,M,M,M,M,M,SBKP 010500Z 04005KT 9999 FEW006 BKN100 21/21 Q1014
SBKP,2016-01-01 06:00,-47.1345,-23.0074,69.80,69.80,100.00,60.00,4.00,0.00,29.94,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBKP 010600Z 06004KT CAVOK 21/21 Q1014
SBKP,2016-01-01 07:00,-47.1345,-23.0074,69.80,69.80,100.00,60.00,4.00,0.00,29.91,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBKP 010700Z 06004KT CAVOK 21/21 Q1013
SBKP,2016-01-01 07:30,-47.1345,-23.0074,69.80,69.80,100.00,360.00,2.00,0.00,29.94,M,6.21,M,BKN,BKN,M,M,800.00,7000.00,M,M,M,M,M,M,SBKP 010730Z 36002KT 9999 BKN008 BKN070 21/21 Q1014
SBKP,2016-01-01 08:00,-47.1345,-23.0074,69.80,69.80,100.00,360.00,4.00,0.00,29.94,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,SBKP 010800Z 36004KT 9999 BKN009 21/21 Q1014
SBKP,2016-01-01 09:00,-47.1345,-23.0074,69.80,69.80,100.00,50.00,3.00,0.00,29.97,M,4.97,M,FEW,SCT,M,M,500.00,8000.00,M,M,M,M,M,M,SBKP 010900Z 05003KT 8000 FEW005 SCT080 21/21 Q1015
SBKP,2016-01-01 10:00,-47.1345,-23.0074,71.60,69.80,94.06,30.00,5.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,SBKP 011000Z 03005KT 9999 FEW010 22/21 Q1015
SBKP,2016-01-01 11:00,-47.1345,-23.0074,73.40,69.80,88.51,360.00,4.00,0.00,30.00,M,6.21,M,BKN,M,M,M,800.00,M,M,M,M,M,M,M,SBKP 011100Z 36004KT 9999 BKN008 23/21 Q1016
SBKP,2016-01-01 12:00,-47.1345,-23.0074,75.20,69.80,83.32,330.00,5.00,0.00,30.00,M,6.21,M,SCT,M,M,M,1100.00,M,M,M,M,M,M,M,SBKP 011200Z 33005KT 9999 SCT011 24/21 Q1016
SBKP,2016-01-01 13:00,-47.1345,-23.0074,78.80,69.80,73.95,340.00,5.00,0.00,30.00,M,6.21,M,BKN,M,M,M,2000.00,M,M,M,M,M,M,M,SBKP 011300Z 34005KT 9999 BKN020 26/21 Q1016
SBKP,2016-01-01 14:00,-47.1345,-23.0074,82.40,68.00,61.81,300.00,5.00,0.00,30.00,M,6.21,M,BKN,M,M,M,3500.00,M,M,M,M,M,M,M,SBKP 011400Z 30005KT 9999 BKN035 28/20 Q1016
SBKP,2016-01-01 15:00,-47.1345,-23.0074,80.60,69.80,69.71,260.00,5.00,0.00,29.97,M,6.21,M,BKN,FEW,M,M,3000.00,3500.00,M,M,-RA,M,M,M,SBKP 011500Z 26005KT 9999 -RA BKN030 FEW035TCU 27/21 Q1015
