#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBRF,2016-01-01 00:00,-34.8500,-8.0667,80.60,71.60,74.11,110.00,6.00,0.00,29.94,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010000Z 11006KT 9999 FEW023 27/22 Q1014
SBRF,2016-01-01 01:00,-34.8500,-8.0667,80.60,71.60,74.11,120.00,6.00,0.00,29.94,M,6.21,M,FEW,M,M,M,800.00,M,M,M,M,M,M,M,SBRF 010100Z 12006KT 9999 FEW008 27/22 Q1014
SBRF,2016-01-01 02:00,-34.8500,-8.0667,80.60,71.60,74.11,100.00,6.00,0.00,29.94,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010200Z 10006KT 9999 BKN023 27/22 Q1014
SBRF,2016-01-01 03:00,-34.8500,-8.0667,80.60,71.60,74.11,110.00,6.00,0.00,29.91,M,6.21,M,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010300Z 11006KT 9999 SCT023 27/22 Q1013
SBRF,2016-01-01 04:00,-34.8500,-8.0667,80.60,71.60,74.11,100.00,5.00,0.00,29.88,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010400Z 10005KT 9999 BKN023 27/22 Q1012
SBRF,2016-01-01 05:00,-34.8500,-8.0667,80.60,71.60,74.11,110.00,6.00,0.00,29.88,M,6.21,M,SCT,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010500Z 11006KT 9999 SCT023 27/22 Q1012
SBRF,2016-01-01 06:00,-34.8500,-8.0667,80.60,71.60,74.11,110.00,6.00,0.00,29.85,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010600Z 11006KT 9999 BKN023 27/22 Q1011
SBRF,2016-01-01 07:00,-34.8500,-8.0667,78.80,69.80,73.95,120.00,6.00,0.00,29.88,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010700Z 12006KT 9999 FEW023 26/21 Q1012
SBRF,2016-01-01 08:00,-34.8500,-8.0667,78.80,71.60,78.62,120.00,4.00,0.00,29.88,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010800Z 12004KT 9999 BKN023 26/22 Q1012
SBRF,2016-01-01 09:00,-34.8500,-8.0667,80.60,71.60,74.11,100.00,4.00,0.00,29.91,M,6.21,M,BKN,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 010900Z 10004KT 9999 BKN023 27/22 Q1013
SBRF,2016-01-01 10:00,-34.8500,-8.0667,82.40,71.60,69.90,120.00,7.00,0.00,29.91,M,6.21,M,SCT,SCT,M,M,2300.00,6000.00,M,M,M,M,M,M,SBRF 011000Z 12007KT 9999 SCT023 SCT060 28/22 Q1013
SBRF,2016-01-01 11:00,-34.8500,-8.0667,84.20,71.60,65.95,110.00,6.00,0.00,29.94,M,6.21,M,FEW,M,M,M,2300.00,M,M,M,M,M,M,M,SBRF 011100Z 11006KT 020V170 9999 FEW023 29/22 Q1014
SBRF,2016-01-01 12:00,-34.8500,-8.0667,84.20,73.40,70.08,110.00,6.00,0.00,29.94,M,6.21,M,SCT,SCT,M,M,2500.00,6000.00,M,M,M,M,M,M,SBRF 011200Z 11006KT 010V170 9999 SCT025 SCT060 29/23 Q1014
SBRF,2016-01-01 13:00,-34.8500,-8.0667,86.00,73.40,66.15,110.00,9.00,0.00,29.91,M,6.21,M,SCT,M,M,M,2500.00,M,M,M,M,M,M,M,SBRF 011300Z 11009KT 050V140 9999 SCT025 30/23 Q1013
SBRF,2016-01-01 14:00,-34.8500,-8.0667,84.20,71.60,65.95,110.00,10.00,0.00,29.91,M,6.21,M,SCT,SCT,M,M,2500.00,6000.00,M,M,M,M,M,M,SBRF 011400Z 11010KT 9999 SCT025 SCT060 29/22 Q1013
SBRF,2016-01-01 15:00,-34.8500,-8.0667,86.00,73.40,66.15,110.00,8.00,0.00,29.91,M,6.21,M,SCT,BKN,M,M,2300.00,6000.00,M,M,M,M,M,M,SBRF 011500Z 11008KT 060V160 9999 SCT023 BKN060 30/23 Q1013
SBRF,2016-01-01 16:00,-34.8500,-8.0667,84.20,71.60,65.95,110.00,10.00,0.00,29.88,M,6.21,M,FEW,BKN,M,M,2300.00,6000.00,M,M,M,M,M,M,SBRF 011600Z 11010KT 050V150 9999 FEW023 BKN060 29/22 Q1012
SBRF,2016-01-01 17:00,-34.8500,-8.0667,86.00,71.60,62.25,110.00,11.00,0.00,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 011700Z 11011KT 9999 FEW025 BKN070 30/22 Q1011
SBRF,2016-01-01 18:00,-34.8500,-8.0667,82.40,73.40,74.28,70.00,9.00,0.00,29.85,M,6.21,M,BKN,SCT,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 011800Z 07009KT 030V120 9999 BKN025 SCT070 28/23 Q1011
SBRF,2016-01-01 19:00,-34.8500,-8.0667,84.20,69.80,62.03,90.00,8.00,0.00,29.85,M,6.21,M,FEW,BKN,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 011900Z 09008KT 040V140 9999 FEW025 BKN070 29/21 Q1011
SBRF,2016-01-01 20:00,-34.8500,-8.0667,82.40,71.60,69.90,110.00,8.00,0.00,29.85,M,6.21,M,FEW,SCT,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 012000Z 11008KT 9999 FEW025 SCT070 28/22 Q1011
SBRF,2016-01-01 21:00,-34.8500,-8.0667,82.40,69.80,65.74,120.00,6.00,0.00,29.88,M,6.21,M,FEW,SCT,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 012100Z 12006KT 9999 FEW025 SCT070 28/21 Q1012
SBRF,2016-01-01 22:00,-34.8500,-8.0667,80.60,69.80,69.71,120.00,7.00,0.00,29.88,M,6.21,M,FEW,SCT,M,M,2500.00,7000.00,M,M,M,M,M,M,SBRF 012200Z 12007KT 9999 FEW025 SCT070 27/21 Q1012
SBRF,2016-01-01 23:00,-34.8500,-8.0667,80.60,71.60,74.11,90.00,5.00,0.00,29.91,M,6.21,M,FEW,M,M,M,2500.00,M,M,M,M,M,M,M,SBRF 012300Z 09005KT 050V130 9999 FEW025 27/22 Q1013
