#DEBUG: Format Typ    -> comma
#DEBUG: Time Period   -> 2016-01-01 00:00:00+00:00 2017-12-01 00:00:00+00:00
#DEBUG: Time Zone     -> Etc/UTC
#DEBUG: Data Contact   -> daryl herzmann akrherz@iastate.edu 515-294-5978
#DEBUG: Entries Found -> -1
station,valid,lon,lat,tmpf, dwpf, relh, drct, sknt, p01i, alti, mslp, vsby, gust, skyc1, skyc2, skyc3, skyc4, skyl1, skyl2, skyl3, skyl4, wxcodes, ice_accretion_1hr, ice_accretion_3hr, ice_accretion_6hr, metar
SBSP,2016-01-01 00:00,-46.6554,-23.6267,77.00,66.20,69.33,320.00,11.00,0.00,30.00,M,6.21,M,FEW,BKN,M,M,4300.00,7700.00,M,M,M,M,M,M,SBSP 010000Z 32011KT 9999 FEW043 BKN077 25/19 Q1016
SBSP,2016-01-01 01:00,-46.6554,-23.6267,75.20,68.00,78.34,310.00,7.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBSP 010100Z 31007KT CAVOK 24/20 Q1016
SBSP,2016-01-01 01:01,-46.6554,-23.6267,75.20,68.00,78.34,320.00,8.00,0.00,30.00,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBSP 010101Z 32008KT CAVOK 24/20 Q1016
SBSP,2016-01-01 02:00,-46.6554,-23.6267,73.40,66.20,78.19,340.00,11.00,0.00,29.97,M,6.21,M,FEW,M,M,M,1200.00,M,M,M,M,M,M,M,SBSP 010200Z AUTO 34011KT 300V360 9999 FEW012 23/19 Q1015
SBSP,2016-01-01 03:00,-46.6554,-23.6267,71.60,66.20,83.09,330.00,11.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBSP 010300Z AUTO 33011KT CAVOK 22/19 Q1015
SBSP,2016-01-01 04:01,-46.6554,-23.6267,71.60,66.20,83.09,320.00,14.00,0.00,29.94,M,6.21,24.00,BKN,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010401Z AUTO 32014G24KT 9999 BKN009 22/19 Q1014
SBSP,2016-01-01 04:43,-46.6554,-23.6267,69.80,66.20,88.34,330.00,12.00,0.00,29.94,M,6.21,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010443Z AUTO 33012KT 9999 FEW009 21/19 Q1014
SBSP,2016-01-01 05:00,-46.6554,-23.6267,69.80,66.20,88.34,320.00,9.00,0.00,29.94,M,6.21,M,SCT,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010500Z AUTO 32009KT 9999 SCT009 21/19 Q1014
SBSP,2016-01-01 05:19,-46.6554,-23.6267,71.60,66.20,83.09,320.00,9.00,0.00,29.94,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010519Z AUTO 32009KT 290V350 9999 BKN009 22/19 Q1014
SBSP,2016-01-01 06:00,-46.6554,-23.6267,69.80,66.20,88.34,330.00,7.00,0.00,29.94,M,6.21,M,BKN,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010600Z AUTO 33007KT 9999 BKN009 21/19 Q1014
SBSP,2016-01-01 06:39,-46.6554,-23.6267,71.60,66.20,83.09,330.00,10.00,0.00,29.94,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,SBSP 010639Z AUTO 33010KT 9999 BKN010 22/19 Q1014
SBSP,2016-01-01 07:00,-46.6554,-23.6267,69.80,64.40,82.98,330.00,8.00,0.00,29.94,M,6.21,M,BKN,M,M,M,1000.00,M,M,M,M,M,M,M,SBSP 010700Z AUTO 33008KT 300V360 9999 BKN010 21/18 Q1014
SBSP,2016-01-01 07:17,-46.6554,-23.6267,69.80,66.20,88.34,320.00,7.00,0.00,29.94,M,6.21,M,FEW,M,M,M,1000.00,M,M,M,M,M,M,M,SBSP 010717Z AUTO 32007KT 9999 FEW010 21/19 Q1014
SBSP,2016-01-01 08:00,-46.6554,-23.6267,69.80,64.40,82.98,310.00,6.00,0.00,29.94,M,6.21,M,FEW,M,M,M,900.00,M,M,M,M,M,M,M,SBSP 010800Z 31006KT 9999 FEW009 21/18 Q1014
SBSP,2016-01-01 09:00,-46.6554,-23.6267,69.80,66.20,88.34,330.00,5.00,0.00,29.97,M,6.21,M,M,M,M,M,M,M,M,M,M,M,M,M,SBSP 010900Z 33005KT CAVOK 21/19 Q1015
